epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.42892158031463623,0.68954998254776,1.2679970264434814,1.053734540939331
2,0.6782212853431702,0.7078565955162048,0.9358751177787781,0.8658648133277893
3,0.7536764740943909,0.7360793352127075,0.7655940651893616,0.7667908072471619
4,0.7834383845329285,0.7559115290641785,0.6718137264251709,0.7017138600349426
5,0.8018207550048828,0.7681159377098083,0.6055331826210022,0.6615999937057495
6,0.8168767690658569,0.7765064835548401,0.5642774105072021,0.6263688206672668
7,0.8277310729026794,0.7856597900390625,0.5293056964874268,0.6017046570777893
8,0.8373599648475647,0.7925248146057129,0.4948002099990845,0.5853947401046753
9,0.845588207244873,0.796338677406311,0.47275036573410034,0.5735545754432678
10,0.8480392098426819,0.8131197690963745,0.4590567350387573,0.5479459166526794
